"partner","geo","time","values"
"NL","FR",2015-12-31,152
"NL","HR",2015-12-31,0
"NL","IE",2015-12-31,2
"NL","IS",2015-12-31,3
"NL","IT",2015-12-31,59
"NL","LU",2015-12-31,13
"NL","LV",2015-12-31,0
"NL","MT",2015-12-31,11
"NL","NL",2015-12-31,0
"NL","NO",2015-12-31,21
"NL","PL",2015-12-31,4
"NL","PT",2015-12-31,1
"NL","RO",2015-12-31,0
"NL","SE",2015-12-31,129
"NL","SI",2015-12-31,2
"NL","SK",2015-12-31,2
"NL","TOTAL",2015-12-31,1594
"NL","UK",2015-12-31,59
"NO","AT",2015-12-31,51
"NO","BE",2015-12-31,41
"NO","BG",2015-12-31,3
"NO","CH",2015-12-31,60
"NO","DE",2015-12-31,501
"NO","DK",2015-12-31,106
"NO","EE",2015-12-31,0
"NO","EL",2015-12-31,40
"NO","EU28",2015-12-31,1568
"NO","FI",2015-12-31,40
"NO","FR",2015-12-31,161
"NO","HR",2015-12-31,1
"NO","IE",2015-12-31,0
"NO","IS",2015-12-31,22
"NO","IT",2015-12-31,159
"NO","LU",2015-12-31,6
"NO","LV",2015-12-31,1
"NO","MT",2015-12-31,3
"NO","NL",2015-12-31,46
"NO","NO",2015-12-31,0
"NO","PL",2015-12-31,7
"NO","PT",2015-12-31,0
"NO","RO",2015-12-31,2
"NO","SE",2015-12-31,337
"NO","SI",2015-12-31,0
"NO","SK",2015-12-31,1
"NO","TOTAL",2015-12-31,1650
"NO","UK",2015-12-31,62
"PL","AT",2015-12-31,427
"PL","BE",2015-12-31,226
"PL","BG",2015-12-31,0
"PL","CH",2015-12-31,130
"PL","DE",2015-12-31,3728
"PL","DK",2015-12-31,121
"PL","EE",2015-12-31,0
"PL","EL",2015-12-31,1
"PL","EU28",2015-12-31,5960
"PL","FI",2015-12-31,27
"PL","FR",2015-12-31,737
"PL","HR",2015-12-31,0
"PL","IE",2015-12-31,10
"PL","IS",2015-12-31,0
"PL","IT",2015-12-31,287
"PL","LU",2015-12-31,13
"PL","LV",2015-12-31,2
"PL","MT",2015-12-31,0
"PL","NL",2015-12-31,118
"PL","NO",2015-12-31,62
"PL","PL",2015-12-31,0
"PL","PT",2015-12-31,33
"PL","RO",2015-12-31,1
"PL","SE",2015-12-31,212
"PL","SI",2015-12-31,0
"PL","SK",2015-12-31,0
"PL","TOTAL",2015-12-31,6152
"PL","UK",2015-12-31,17
"PT","AT",2015-12-31,4
"PT","BE",2015-12-31,23
"PT","BG",2015-12-31,0
"PT","CH",2015-12-31,28
"PT","DE",2015-12-31,60
"PT","DK",2015-12-31,9
"PT","EE",2015-12-31,1
"PT","EL",2015-12-31,0
"PT","EU28",2015-12-31,285
"PT","FI",2015-12-31,10
"PT","FR",2015-12-31,140
"PT","HR",2015-12-31,0
"PT","IE",2015-12-31,0
"PT","IS",2015-12-31,0
"PT","IT",2015-12-31,12
"PT","LU",2015-12-31,1
"PT","LV",2015-12-31,0
"PT","MT",2015-12-31,1
"PT","NL",2015-12-31,11
"PT","NO",2015-12-31,4
"PT","PL",2015-12-31,1
"PT","PT",2015-12-31,0
"PT","RO",2015-12-31,0
"PT","SE",2015-12-31,11
"PT","SI",2015-12-31,0
"PT","SK",2015-12-31,0
"PT","TOTAL",2015-12-31,317
"PT","UK",2015-12-31,1
"RO","AT",2015-12-31,67
"RO","BE",2015-12-31,18
"RO","BG",2015-12-31,0
"RO","CH",2015-12-31,15
"RO","DE",2015-12-31,332
"RO","DK",2015-12-31,9
"RO","EE",2015-12-31,0
"RO","EL",2015-12-31,2
"RO","EU28",2015-12-31,579
"RO","FI",2015-12-31,6
"RO","FR",2015-12-31,35
"RO","HR",2015-12-31,1
"RO","IE",2015-12-31,1
"RO","IS",2015-12-31,0
"RO","IT",2015-12-31,30
"RO","LU",2015-12-31,0
"RO","LV",2015-12-31,0
"RO","MT",2015-12-31,0
"RO","NL",2015-12-31,7
"RO","NO",2015-12-31,8
"RO","PL",2015-12-31,0
"RO","PT",2015-12-31,0
"RO","RO",2015-12-31,0
"RO","SE",2015-12-31,40
"RO","SI",2015-12-31,1
"RO","SK",2015-12-31,1
"RO","TOTAL",2015-12-31,602
"RO","UK",2015-12-31,29
"SE","AT",2015-12-31,90
"SE","BE",2015-12-31,108
"SE","BG",2015-12-31,6
"SE","CH",2015-12-31,110
"SE","DE",2015-12-31,1298
"SE","DK",2015-12-31,330
"SE","EE",2015-12-31,5
"SE","EL",2015-12-31,166
"SE","EU28",2015-12-31,2823
"SE","FI",2015-12-31,165
"SE","FR",2015-12-31,303
"SE","HR",2015-12-31,3
"SE","IE",2015-12-31,2
"SE","IS",2015-12-31,16
"SE","IT",2015-12-31,122
"SE","LU",2015-12-31,11
"SE","LV",2015-12-31,1
"SE","MT",2015-12-31,5
"SE","NL",2015-12-31,110
"SE","NO",2015-12-31,153
"SE","PL",2015-12-31,3
"SE","PT",2015-12-31,0
"SE","RO",2015-12-31,0
"SE","SE",2015-12-31,0
"SE","SI",2015-12-31,3
"SE","SK",2015-12-31,3
"SE","TOTAL",2015-12-31,3102
"SE","UK",2015-12-31,89
"SI","AT",2015-12-31,488
"SI","BE",2015-12-31,7
"SI","BG",2015-12-31,0
"SI","CH",2015-12-31,318
"SI","DE",2015-12-31,39
"SI","DK",2015-12-31,3
"SI","EE",2015-12-31,0
"SI","EL",2015-12-31,0
"SI","EU28",2015-12-31,599
"SI","FI",2015-12-31,2
"SI","FR",2015-12-31,28
"SI","HR",2015-12-31,1
"SI","IE",2015-12-31,0
"SI","IS",2015-12-31,2
"SI","IT",2015-12-31,7
