"partner","geo","time","values","decision"
"LI","SE",2015-12-31,0,"ACC"
"LI","SI",2015-12-31,0,"ACC"
"LI","SK",2015-12-31,0,"ACC"
"LI","TOTAL",2015-12-31,3,"ACC"
"LI","UK",2015-12-31,0,"ACC"
"LT","AT",2015-12-31,16,"ACC"
"LT","BE",2015-12-31,23,"ACC"
"LT","BG",2015-12-31,0,"ACC"
"LT","CH",2015-12-31,28,"ACC"
"LT","DE",2015-12-31,233,"ACC"
"LT","DK",2015-12-31,20,"ACC"
"LT","EE",2015-12-31,1,"ACC"
"LT","EL",2015-12-31,1,"ACC"
"LT","EU28",2015-12-31,507,"ACC"
"LT","FI",2015-12-31,15,"ACC"
"LT","FR",2015-12-31,38,"ACC"
"LT","HR",2015-12-31,0,"ACC"
"LT","IE",2015-12-31,0,"ACC"
"LT","IS",2015-12-31,1,"ACC"
"LT","IT",2015-12-31,5,"ACC"
"LT","LI",2015-12-31,1,"ACC"
"LT","LU",2015-12-31,8,"ACC"
"LT","LV",2015-12-31,3,"ACC"
"LT","MT",2015-12-31,2,"ACC"
"LT","NL",2015-12-31,38,"ACC"
"LT","NO",2015-12-31,17,"ACC"
"LT","PL",2015-12-31,11,"ACC"
"LT","PT",2015-12-31,14,"ACC"
"LT","RO",2015-12-31,0,"ACC"
"LT","SE",2015-12-31,76,"ACC"
"LT","SI",2015-12-31,0,"ACC"
"LT","SK",2015-12-31,0,"ACC"
"LT","TOTAL",2015-12-31,554,"ACC"
"LT","UK",2015-12-31,3,"ACC"
"LU","AT",2015-12-31,2,"ACC"
"LU","BE",2015-12-31,3,"ACC"
"LU","BG",2015-12-31,0,"ACC"
"LU","CH",2015-12-31,7,"ACC"
"LU","DE",2015-12-31,26,"ACC"
"LU","DK",2015-12-31,5,"ACC"
"LU","EE",2015-12-31,0,"ACC"
"LU","EL",2015-12-31,0,"ACC"
"LU","EU28",2015-12-31,72,"ACC"
"LU","FI",2015-12-31,1,"ACC"
"LU","FR",2015-12-31,24,"ACC"
"LU","HR",2015-12-31,0,"ACC"
"LU","IE",2015-12-31,0,"ACC"
"LU","IS",2015-12-31,0,"ACC"
"LU","IT",2015-12-31,0,"ACC"
